conflict_id,location,side_a,side_a_id,side_a_2nd,side_b,side_b_id,side_b_2nd,incompatibility,territory_name,year,intensity_level,cumulative_intensity,type_of_conflict,start_date,start_prec,start_date2,start_prec2,gwno_a,gwno_a_2nd,gwno_b,gwno_b_2nd,gwno_loc,region,type_of_conflict2,c_epid,c_epno,c_ep_startyear,c_epterm,c_outcome,c_ep_endyear,c_ependdate,c_ependprec,c_ep_durcount,c_ep_dur,version,conflict_type,termination_outcome,any_support,support_count,support_label
222,Myanmar (Burma),Government of Myanmar (Burma),144,NA,PSLF,5965,NA,2,NA,2015,1,1,3,1948-02-29,4,2013-11-15,1,775,NA,NA,NA,775,3,3,22204,4,2013,1,5,2015,2015-11-13,5,3,3,4.2024002,Intrastate,Other/Unclear,1,3,External Support
222,Myanmar (Burma),Government of Myanmar (Burma),144,NA,PSLF,5965,NA,2,NA,2019,1,1,3,1948-02-29,4,2017-04-29,1,775,NA,NA,NA,775,3,3,22205,5,2017,1,5,2019,2019-12-20,2,3,3,4.2024002,Intrastate,Other/Unclear,1,3,External Support
223,Myanmar (Burma),Government of Myanmar (Burma),144,NA,Mujahid Party,1065,NA,1,Arakan,1961,1,0,3,1948-01-31,4,1948-01-31,4,775,NA,NA,NA,775,3,3,22301,1,1948,1,3,1961,1961-11-15,1,14,14,4.2024002,Intrastate,Victory,1,3,External Support
223,Myanmar (Burma),Government of Myanmar (Burma),144,NA,RPF,1068,NA,1,Arakan,1978,1,1,3,1948-01-31,4,1964-12-31,6,775,NA,NA,NA,775,3,3,22302,2,1964,1,5,1978,1978-12-31,5,15,15,4.2024002,Intrastate,Other/Unclear,1,3,External Support
223,Myanmar (Burma),Government of Myanmar (Burma),144,NA,RSO,187,NA,1,Arakan,1991,1,1,3,1948-01-31,4,1991-12-29,3,775,NA,NA,NA,775,3,3,22303,3,1991,1,5,1991,1991-12-29,3,1,1,4.2024002,Intrastate,Other/Unclear,1,3,External Support
223,Myanmar (Burma),Government of Myanmar (Burma),144,NA,RSO,187,NA,1,Arakan,1994,1,1,3,1948-01-31,4,1994-05-15,5,775,NA,NA,NA,775,3,3,22304,4,1994,1,5,1994,1994-06-23,1,1,1,4.2024002,Intrastate,Other/Unclear,1,3,External Support
223,Myanmar (Burma),Government of Myanmar (Burma),144,NA,ULA,3051,NA,1,Arakan,2020,1,1,3,1948-01-31,4,2016-10-11,1,775,NA,NA,NA,775,3,3,22305,5,2016,1,2,2020,2020-11-26,1,5,5,4.2024002,Intrastate,Ceasefire,1,3,External Support
224,Myanmar (Burma),Government of Myanmar (Burma),144,NA,NMSP,190,NA,1,Mon,1963,1,0,3,1948-12-31,3,1949-02-28,3,775,NA,NA,NA,775,3,3,22401,1,1949,1,5,1963,1963-12-31,5,15,15,4.2024002,Intrastate,Other/Unclear,1,3,External Support
224,Myanmar (Burma),Government of Myanmar (Burma),144,NA,NMSP,190,NA,1,Mon,1990,1,0,3,1948-12-31,3,1990-02-13,3,775,NA,NA,NA,775,3,3,22402,2,1990,1,5,1990,1990-03-22,1,1,1,4.2024002,Intrastate,Other/Unclear,1,3,External Support
224,Myanmar (Burma),Government of Myanmar (Burma),144,NA,BMA,191,NA,1,Mon,1996,1,0,3,1948-12-31,3,1996-12-23,5,775,NA,NA,NA,775,3,3,22403,3,1996,1,3,1996,1996-12-23,4,1,1,4.2024002,Intrastate,Victory,1,3,External Support
225,Costa Rica,Government of Costa Rica,15,NA,National Liberation Army,725,NA,2,NA,1948,2,1,3,1948-03-03,2,1948-03-03,2,94,NA,NA,NA,94,5,3,22501,1,1948,1,4,1948,1948-04-20,1,1,1,4.2024002,Intrastate,Low Activity,NA,NA,No External Support
226,"Hyderabad, India",Government of Hyderabad,2,NA,Government of India,141,NA,1,Hyderabad,1948,2,1,2,1948-09-13,2,1948-09-13,2,751,NA,750,NA,"750, 751",3,2,22601,1,1948,1,4,1948,1948-09-18,1,1,1,4.2024002,Interstate,Low Activity,NA,NA,No External Support
227,India,Government of India,141,NA,CPI,178,NA,2,NA,1951,2,1,3,1948-05-01,1,1948-09-18,2,750,NA,NA,NA,750,3,3,22701,1,1948,1,5,1951,1951-12-31,5,4,4,4.2024002,Intrastate,Other/Unclear,1,6,External Support
227,India,Government of India,141,NA,CPI-ML,192,NA,2,NA,1971,1,1,3,1948-05-01,1,1969-12-31,5,750,NA,NA,NA,750,3,3,22702,2,1969,1,3,1971,1971-12-31,5,3,3,4.2024002,Intrastate,Victory,1,6,External Support
227,India,Government of India,141,NA,PWG,193,NA,2,NA,1994,1,1,3,1948-05-01,1,1991-07-16,1,750,NA,NA,NA,750,3,3,22703,3,1991,1,5,1994,1994-12-02,1,4,4,4.2024002,Intrastate,Other/Unclear,1,6,External Support
228,"Egypt, Iraq, Israel, Jordan, Lebanon, Syria","Government of Egypt, Government of Iraq, Government of Jordan, Government of Lebanon, Government of Syria","117, 116, 120, 119, 118",NA,Government of Israel,121,NA,1,Palestine,1949,1,1,2,1948-04-15,1,1948-04-15,1,"651,  645,  663,  660,  652",NA,666,NA,"645, 651, 652, 660, 663, 666",2,2,22801,1,1948,1,2,1949,1949-01-07,1,2,2,4.2024002,Interstate,Ceasefire,NA,NA,No External Support
229,Malaysia,Government of United Kingdom,28,"Government of Australia, Government of New Zealand",CPM,196,NA,1,Malaya,1957,1,1,1,1948-06-19,1,1948-06-19,1,200,"900, 920",NA,NA,820,3,1,22901,1,1948,1,6,1957,1957-08-31,1,10,10,4.2024002,Extrasystemic,Ongoing,NA,NA,No External Support
230,Yemen (North Yemen),Government of Yemen (North Yemen),123,NA,Opposition coalition,197,NA,2,NA,1948,2,1,3,1948-03-15,1,1948-03-15,3,678,NA,NA,NA,678,2,3,23001,1,1948,1,4,1948,1948-03-15,1,1,1,4.2024002,Intrastate,Low Activity,1,8,External Support
231,Myanmar (Burma),Government of Myanmar (Burma),144,NA,PNDF,200,NA,1,Kachin,1950,1,1,3,1949-12-31,6,1949-12-31,6,775,NA,NA,NA,775,3,3,23101,1,1949,1,3,1950,1950-05-05,1,2,2,4.2024002,Intrastate,Victory,1,5,External Support
