conflict_id,country,location,side_a,side_b,year,region_label,intensity_level,intensity_label,conflict_type_label,lat,lon
354,Turkey,Turkey,Government of Turkey,PKK,2016,Middle East,2,War,Intrastate,29,42
364,India,India,Government of India,Kashmir insurgents,2016,Asia,1,Minor Conflict,Intrastate,34,90
374,Rwanda,Rwanda,Government of Rwanda,FDLR-FOCA,2016,Africa,1,Minor Conflict,Internationalized Intrastate,-2,22
383,Turkey,Turkey,Government of Turkey,"TAK, Yurtta Sulh Konseyi",2016,Middle East,1,Minor Conflict,Intrastate,29,42
386,Algeria,Algeria,Government of Algeria,AQIM,2016,Africa,1,Minor Conflict,Intrastate,-2,22
387,Angola,Angola,Government of Angola,FLEC-FAC-TN,2016,Africa,1,Minor Conflict,Intrastate,-2,22
388,Azerbaijan,Azerbaijan,Government of Azerbaijan,Republic of Artsakh,2016,Europe,1,Minor Conflict,Internationalized Intrastate,54,25
404,Pakistan,Pakistan,Government of Pakistan,TTP,2016,Asia,1,Minor Conflict,Internationalized Intrastate,34,90
408,Congo,Congo,Government of Congo,Ntsiloulous,2016,Africa,1,Minor Conflict,Intrastate,-2,22
409,Eritrea,"Eritrea, Ethiopia",Government of Eritrea,Government of Ethiopia,2016,Africa,1,Minor Conflict,Interstate,-2,22
413,Ethiopia,Ethiopia,Government of Ethiopia,OLF,2016,Africa,1,Minor Conflict,Intrastate,-2,22
418,United States of America,United States of America,Government of United States of America,al-Qaida,2016,Americas,1,Minor Conflict,Internationalized Intrastate,-14,-60
423,Thailand,Thailand,Government of Thailand,Patani insurgents,2016,Asia,1,Minor Conflict,Intrastate,34,90
11345,South Sudan,South Sudan,Government of South Sudan,SPLM/A - IO,2017,Africa,1,Minor Conflict,Intrastate,-2,22
11346,Libya,Libya,Government of Libya,"Forces of Khalifa al-Ghawil, Forces of the House of Representatives, PFLL",2017,Africa,1,Minor Conflict,Intrastate,-2,22
11347,Mali,Mali,Government of Mali,"AQIM, JNIM",2017,Africa,1,Minor Conflict,Internationalized Intrastate,-2,22
13306,Ukraine,Ukraine,Government of Ukraine,"DPR, LPR",2017,Europe,1,Minor Conflict,Internationalized Intrastate,54,25
13588,Russia,Russia (Soviet Union),Government of Russia (Soviet Union),IS,2017,Europe,1,Minor Conflict,Intrastate,54,25
13604,Syria,Syria,Government of Syria,IS,2017,Middle East,2,War,Internationalized Intrastate,29,42
13637,Afghanistan,Afghanistan,Government of Afghanistan,IS,2017,Asia,2,War,Internationalized Intrastate,34,90
13639,Niger,Niger,Government of Niger,IS,2017,Africa,1,Minor Conflict,Internationalized Intrastate,-2,22
13640,Chad,Chad,Government of Chad,IS,2017,Africa,1,Minor Conflict,Intrastate,-2,22
13641,Nigeria,Nigeria,Government of Nigeria,IS,2017,Africa,1,Minor Conflict,Internationalized Intrastate,-2,22
13645,Yemen (North Yemen),Yemen (North Yemen),Government of Yemen (North Yemen),IS,2017,Middle East,1,Minor Conflict,Intrastate,29,42
13646,Kenya,Kenya,Government of Kenya,Al-Shabaab,2017,Africa,1,Minor Conflict,Intrastate,-2,22
13648,Egypt,Egypt,Government of Egypt,IS,2017,Middle East,1,Minor Conflict,Intrastate,29,42
13653,India,India,Government of India,UNLFW,2017,Asia,1,Minor Conflict,Intrastate,34,90
13674,Bangladesh,Bangladesh,Government of Bangladesh,IS,2017,Asia,1,Minor Conflict,Intrastate,34,90
13675,Lebanon,Lebanon,Government of Lebanon,IS,2017,Middle East,1,Minor Conflict,Intrastate,29,42
13694,Libya,Libya,Government of Libya,IS,2017,Africa,1,Minor Conflict,Internationalized Intrastate,-2,22
13902,Turkey,Turkey,Government of Turkey,IS,2017,Middle East,1,Minor Conflict,Intrastate,29,42
13936,Pakistan,Pakistan,Government of Pakistan,IS,2017,Asia,1,Minor Conflict,Intrastate,34,90
14113,Mali,Mali,Government of Mali,IS,2017,Africa,1,Minor Conflict,Internationalized Intrastate,-2,22
14129,Cameroon,Cameroon,Government of Cameroon,Ambazonia insurgents,2017,Africa,1,Minor Conflict,Intrastate,-2,22
14268,Iran,Iran,Government of Iran,IS,2017,Middle East,1,Minor Conflict,Intrastate,29,42
14275,Philippines,Philippines,Government of Philippines,IS,2017,Asia,2,War,Intrastate,34,90
14692,Democratic Republic of Congo,DR Congo (Zaire),Government of DR Congo (Zaire),IS,2017,Africa,1,Minor Conflict,Internationalized Intrastate,-2,22
209,Philippines,Philippines,Government of Philippines,CPP,2017,Asia,1,Minor Conflict,Intrastate,34,90
218,India,"India, Pakistan",Government of India,Government of Pakistan,2017,Asia,1,Minor Conflict,Interstate,34,90
222,Myanmar,Myanmar (Burma),Government of Myanmar (Burma),PSLF,2017,Asia,1,Minor Conflict,Intrastate,34,90
223,Myanmar,Myanmar (Burma),Government of Myanmar (Burma),ARSA,2017,Asia,1,Minor Conflict,Intrastate,34,90
